name,url,feed_url,type,access_method,what_they_share,feed_filter,feed_ua
The Signal (Brendan J Short),https://www.thesignal.club,https://www.thesignal.club/feed,newsletter,rss,GTM plus AI and practical automation and conversational honest style,,
Superhuman AI,https://www.superhuman.ai,https://www.superhuman.ai/sitemap.xml,newsletter,sitemap,Practical AI tools and tutorials for 800K plus subscribers,/p/,googlebot
The Neuron,https://www.theneurondaily.com,https://www.theneurondaily.com/sitemap.xml,newsletter,sitemap,AI tools mapped to actual business results and decisions,/p/,googlebot
TLDR AI,https://tldr.tech/ai,https://tldr.tech/api/rss/ai,newsletter,rss,Daily AI news in bullets for 500K plus readers,,
Lenny's Newsletter,https://www.lennysnewsletter.com,https://www.lennysnewsletter.com/feed,newsletter,rss,Product strategy and AI in product building,,
Stratechery (Ben Thompson),https://stratechery.com,https://stratechery.com/feed/,newsletter,rss,Tech business strategy and AI market analysis,,
TechCrunch AI,https://techcrunch.com/category/artificial-intelligence/,https://techcrunch.com/category/artificial-intelligence/feed/,news,rss,AI funding rounds and product launches and business stories,,
a16z,https://future.a16z.com,https://future.a16z.com/feed/,vc_blog,rss,AI investment thesis and builder frameworks and startup advice (a16z Future publication),,
Not Boring (Packy McCormick),https://www.notboring.co,https://www.notboring.co/feed,newsletter,rss,Business narratives about tech and AI strategy,,
First Round Review,https://review.firstround.com,https://review.firstround.com/glossary/rss/,vc_blog,rss,Startup strategy and AI product building advice,,
Y Combinator,https://www.ycombinator.com/blog,https://www.ycombinator.com/blog/rss,vc_blog,rss,YC startup advice and AI company patterns,,
Practical AI,https://practicalai.fm,https://practicalai.fm/rss,podcast,rss,Case studies and step-by-step AI adoption guides,,
ArXiv cs.AI,https://arxiv.org/list/cs.AI/recent,https://rss.arxiv.org/rss/cs.AI,aggregator,rss,New AI papers daily (kept 1 of 3 for briefing depth),,
HN AI-filtered,https://news.ycombinator.com,https://hnrss.org/newest?q=AI+machine+learning,aggregator,rss,HN posts filtered for AI and ML,,
GitHub Trending Python,https://github.com/trending/python,https://mshibanami.github.io/GitHubTrendingRSS/daily/python.xml,aggregator,rss,Trending Python repos daily,,
